omega,alpha,beta
0.31154481124230393,0.1912579343804766,0.48206422883489886
0.31798550973430384,0.19199623825558676,0.48356891118980966
0.3159542245781364,0.20079550291225992,0.4771194836005849
0.31338809913225796,0.20304983616621078,0.4748876505274362
0.3040956657700826,0.2025563430519035,0.4731952919828693
0.3148335487174351,0.1876869841085558,0.47880641644990196
0.32787819802525986,0.18880501866452906,0.45859215018271887
0.3332019768301577,0.17816091094155273,0.4586513666618623
0.3381204745666179,0.17835308701611646,0.46033046674306755
0.33805350215030444,0.1909413991849021,0.45813572954925363
0.33991354286440584,0.19631344829945102,0.44864103368778613
0.33750521968679886,0.18746594203118802,0.4560911297007895
0.3455211514806613,0.18856345780231695,0.45489716045247197
0.3568520059166681,0.19271564445310993,0.4389843405307629
0.3532815830057774,0.20066781478496226,0.4391087731660329
0.35078618904754444,0.20060890857212674,0.4379905307549271
0.35769293310173333,0.19753845518540644,0.43146114188002826
0.3572754096346022,0.20583978814109732,0.4465967565172689
0.3464115031398639,0.20813523410012924,0.4471454692221861
0.3438670298407395,0.20743489294889264,0.4553331604034466
0.3310235539184933,0.19590273719249351,0.4698084695054371
0.33750535360663164,0.2024178270614633,0.4633118252659837
0.35074471782019495,0.19055302330534138,0.4509794537162494
0.34620949812139823,0.1929363819142971,0.4474868561728408
0.3438509636468657,0.17644877975018622,0.4584942702196669
0.34220042485710445,0.15715870726837838,0.4640103423037122
0.34911897387957724,0.1486019600516746,0.47015586839905077
0.3506551798007438,0.15415254805111975,0.46364932819187055
0.36088445146579873,0.15505207490549508,0.46407535007669026
0.3560290771863638,0.15505638186430865,0.455457107263156
0.3633082733921849,0.15533930540503865,0.45245286126742573
0.3523796538302713,0.1624570330819138,0.4555169596308998
0.34383398493023176,0.1614697726639999,0.46592076324214066
0.33074053812365983,0.16470643885182323,0.47468594217152305
0.3330596604930159,0.1606088422568376,0.4783514583052612
0.324097056065772,0.16640827051205245,0.48675732133287486
0.3342481920801779,0.17800078779043552,0.477535813537795
0.324724460762473,0.17468419315970038,0.4790154453901026
0.3265104230609193,0.18014897190913517,0.47101997878011953
0.3224787672913944,0.190424590327315,0.47183778683995037
0.31715466507868406,0.18892724665910107,0.47390144127876166
0.3062358264046891,0.20344989810549088,0.4648672892921905
0.3145675470239466,0.2101267816486205,0.46548264200421596
0.31392693109366443,0.19852811260918643,0.4724717758366288
0.3204584743436703,0.20897929885377098,0.4731963831223397
0.31643858251349616,0.21694639774966853,0.463087941315733
0.3108664489668729,0.21952748361637806,0.469198177302534
0.319406395579345,0.2142867285477472,0.4597413112104694
0.3224695082242178,0.20842355366989618,0.4723555825575401
0.3246899249805127,0.21390055735928362,0.4624231602492849
0.3119892505529965,0.2102692360434592,0.4726515959111586
0.30565799313371067,0.20881254131357377,0.472256807521322
0.31444205498376165,0.19487945166098622,0.4788281299362076
0.3239389888392965,0.21023865049739884,0.47414289472946863
0.3311757437816925,0.21698790479038096,0.47341402404493754
0.3300513033700292,0.21577022543962265,0.4695177922064287
0.33628895597173103,0.20933097797826583,0.4716718705228989
0.34251695314670116,0.194244214294153,0.46181351675909715
0.3338817209912635,0.18737166344440298,0.45491809523449156
0.33244843214645226,0.19177366889667086,0.4516234189423485
0.3477496980480615,0.1922568510405023,0.43884961006640033
0.3474505359451015,0.19230780040940562,0.465678053393609
0.33664900828080735,0.1804143338749385,0.4819653616076311
0.3433688263890108,0.18060868336839828,0.47551966694310444
0.33203032716825626,0.1738369138573745,0.48883669120878337
0.3213618017970045,0.16365334500719003,0.48927672391694005
0.322215424200409,0.16774108477835786,0.4928698498008695
